Feature,Importance
COH.A.delta.b.FP2.f.F4,0.0
COH.A.delta.b.FP2.g.F8,0.0
COH.A.delta.b.FP2.h.T3,0.0
COH.A.delta.b.FP2.i.C3,0.0
COH.A.delta.b.FP2.j.Cz,0.0
COH.A.delta.b.FP2.k.C4,0.0
COH.A.delta.b.FP2.l.T4,0.0
COH.A.delta.b.FP2.m.T5,0.0
COH.A.delta.b.FP2.n.P3,0.0
COH.A.delta.b.FP2.o.Pz,0.0
COH.A.delta.b.FP2.p.P4,0.0
COH.A.delta.b.FP2.q.T6,0.0
COH.A.delta.b.FP2.r.O1,0.0
COH.A.delta.b.FP2.s.O2,0.0
COH.A.delta.c.F7.d.F3,0.0
COH.A.delta.c.F7.e.Fz,0.0
COH.A.delta.c.F7.f.F4,0.0
COH.A.delta.c.F7.g.F8,0.0
COH.A.delta.c.F7.i.C3,0.0
COH.A.delta.c.F7.j.Cz,0.0
COH.A.delta.c.F7.k.C4,0.0
COH.A.delta.c.F7.l.T4,0.0
COH.A.delta.c.F7.m.T5,0.0
COH.A.delta.c.F7.n.P3,0.0
COH.A.delta.c.F7.o.Pz,0.0
COH.A.delta.c.F7.p.P4,0.0
COH.A.delta.c.F7.q.T6,0.0
COH.A.delta.c.F7.r.O1,0.0
COH.A.delta.c.F7.s.O2,0.0
COH.A.delta.d.F3.e.Fz,0.0
COH.A.delta.d.F3.f.F4,0.0
COH.A.delta.d.F3.h.T3,0.0
COH.A.delta.d.F3.i.C3,0.0
COH.A.delta.d.F3.j.Cz,0.0
COH.A.delta.d.F3.k.C4,0.0
COH.A.delta.d.F3.l.T4,0.0
COH.A.delta.d.F3.m.T5,0.0
COH.A.delta.d.F3.n.P3,0.0
COH.A.delta.d.F3.o.Pz,0.0
COH.A.delta.d.F3.p.P4,0.0
COH.A.delta.d.F3.q.T6,0.0
COH.A.delta.d.F3.r.O1,0.0
COH.A.delta.d.F3.s.O2,0.0
COH.A.delta.e.Fz.f.F4,0.0
COH.A.delta.e.Fz.g.F8,0.0
COH.A.delta.e.Fz.h.T3,0.0
COH.A.delta.e.Fz.i.C3,0.0
COH.A.delta.e.Fz.j.Cz,0.0
COH.A.delta.e.Fz.k.C4,0.0
COH.A.delta.e.Fz.l.T4,0.0
COH.A.delta.e.Fz.m.T5,0.0
COH.A.delta.e.Fz.n.P3,0.0
COH.A.delta.e.Fz.o.Pz,0.0
COH.A.delta.e.Fz.q.T6,0.0
COH.A.delta.e.Fz.r.O1,0.0
COH.A.delta.e.Fz.s.O2,0.0
COH.A.delta.f.F4.g.F8,0.0
COH.A.delta.f.F4.h.T3,0.0
COH.A.delta.f.F4.i.C3,0.0
COH.A.delta.f.F4.j.Cz,0.0
COH.A.delta.f.F4.k.C4,0.0
COH.A.delta.f.F4.l.T4,0.0
COH.A.delta.f.F4.m.T5,0.0
COH.A.delta.f.F4.n.P3,0.0
COH.A.delta.f.F4.o.Pz,0.0
COH.A.delta.f.F4.p.P4,0.0
COH.A.delta.f.F4.q.T6,0.0
COH.A.delta.f.F4.r.O1,0.0
COH.A.delta.f.F4.s.O2,0.0
COH.A.delta.g.F8.h.T3,0.0
COH.A.delta.g.F8.i.C3,0.0
COH.A.delta.g.F8.j.Cz,0.0
COH.A.delta.g.F8.k.C4,0.0
